Starting BFS (two pass, full exploration) on 16 x 16 maze
Step: 161 | Position: (3,0) | Action: FORWARD | Unique cells visited: 146
Step: 162 | Position: (4,0) | Action: FORWARD | Unique cells visited: 147
Step: 163 | Position: (4,1) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 148
Step: 164 | Position: (4,2) | Action: FORWARD | Unique cells visited: 149
Step: 165 | Position: (5,2) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 150
Step: 166 | Position: (5,3) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 151
Step: 167 | Position: (6,3) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 152
Step: 168 | Position: (7,3) | Action: FORWARD | Unique cells visited: 153
Step: 169 | Position: (7,2) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 154
Step: 170 | Position: (7,1) | Action: FORWARD | Unique cells visited: 155
Step: 171 | Position: (8,1) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 156
Step: 172 | Position: (8,2) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 157
Step: 173 | Position: (9,2) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 158
Step: 174 | Position: (9,1) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 159
Step: 175 | Position: (9,2) | Action: TURN_AROUND_AND_FORWARD | Unique cells visited: 159
Step: 176 | Position: (8,2) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 159
Step: 177 | Position: (8,1) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 159
Step: 178 | Position: (7,1) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 159
Step: 179 | Position: (6,1) | Action: FORWARD | Unique cells visited: 160
Step: 180 | Position: (6,2) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 161
Step: 181 | Position: (6,1) | Action: TURN_AROUND_AND_FORWARD | Unique cells visited: 161
Step: 182 | Position: (5,1) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 162
Step: 183 | Position: (5,0) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 163
Step: 184 | Position: (6,0) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 164
Step: 185 | Position: (7,0) | Action: FORWARD | Unique cells visited: 165
Step: 186 | Position: (8,0) | Action: FORWARD | Unique cells visited: 166
Step: 187 | Position: (9,0) | Action: FORWARD | Unique cells visited: 167
Step: 188 | Position: (10,0) | Action: FORWARD | Unique cells visited: 168
Step: 189 | Position: (10,1) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 169
Step: 190 | Position: (10,2) | Action: FORWARD | Unique cells visited: 170
Step: 191 | Position: (10,3) | Action: FORWARD | Unique cells visited: 171
Step: 192 | Position: (9,3) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 172
Step: 193 | Position: (8,3) | Action: FORWARD | Unique cells visited: 173
